Locality,Minimum_elevation_in_meters,Maximum_elevation_in_meters,Decimal_latitude,Decimal_longitude,Coordinate_uncertainty_in_meters,Coords_uncertainty_description,Coords_source,Locus
10 km S Vioolsdrif,,,-28.87,17.62,,centroid of 15x15 minute grid (QDS),,2817DC
Farm Aggenys 56,,,-29.2,18.84,,"degree, minute and integer second",,2918BB
77 km E Springbok,,,-29.37,18.62,,centroid of 15x15 minute grid (QDS),,2918BC
77 km E of Springbok,,,-29.62,18.62,,centroid of 15x15 minute grid (QDS),,2918DA
Road between Pofadder and Onseepkans,,,-29.12,19.37,,centroid of 15x15 minute grid (QDS),,2919AB
"Farm Aggenys, 56",,,-29.2,18.84,,"degree, minute and integer second",,2918BB
approx. 4km NE of Skukuza; Kruger National Park.,,,-24.98,31.63,,0-250 m,,2431DC
approx. 2.5km from Skukuza; Kruger National Park.,,,24.99,31.6,,0-250 m,,2431DC
"Viooldrif, 10 KM S",,,-28.76,17.61,,degree and integer minute,,2817DC
"Viooldrif, 9,6 KM S of",,,-28.76,17.61,,degree and integer minute,,2817DC
"16.3 km ESE Pootjiespram Rd. junction on main park road, RNP",,,-28.16,17.02,,"degree, minute and integer second",,2817AA
10 km E Eksteenfontein,,,-28.86,17.35,,degree and integer minute,,2817CD
"Halfmens Pass, 6.5 km E Pootjiespram Rd. junction, RNP",,,-28.13,16.98,,"degree, minute and integer second",,2816BB
Noup and surrounds,,,-30.12,17.12,,centroid of 15x15 minute grid (QDS),,3017AA
Kleinsee,,,-29.66,17.06,,degree and integer minute,,2917CA
"Richtersveld National Park, main park rd, 12.6 km E of Sendelingsdrif",,,-28.12,17.12,,centroid of 15x15 minute grid (QDS),,2817AA
"Richtersveld National Park, main rd, 23.5 km E of Sendelingsdrif",,,-28.12,17.12,,centroid of 15x15 minute grid (QDS),,2817AA
"Richtersveld Park, ca 22 km E Sendelingsdrift",,,-28.12,17.12,,centroid of 15x15 minute grid (QDS),,2817AA
"Richtersveld National Park, main rd, 22.6 km E of Sendelingsdrif",,,-28.12,17.12,,centroid of 15x15 minute grid (QDS),,2817AA
