gid,entity_nam,reference1,gmrotation,lat,lng,
21837988,Samekomst,2729AA_1,0,-27.0453,29.03126,
21838009,Mieliebult,2729AA_1,0,-27.0441,29.02851,
21838031,Robertsdrift,2729AA_1,0,-27.02954,29.01751,
21838035,Steynsrust,2729AA_1,0,-27.02919,29.0282,
22167530,Koppiesfontein,3026CB_4,359.9998,-30.50286,26.42746,
22145741,Boshoek,3026AC_7,0,-30.3453,26.07755,
22051476,Katdoringfontein,2728CD_25,0,-27.9545,28.49162,
22164678,Stolzkraal,3026BD_22,0,-30.48399,26.814,
22103454,Kameelfontein,2725DB_16,0,-27.65451,25.79814,
22026939,Nooitgedacht,2728BB_1,0,-27.01833,28.75837,
22026932,Vrede,2728BB_1,0,-27.03837,28.76923,
22026940,Crystalfontein,2728BB_1,0,-27.01945,28.76968,
20643780,Aanhou,2826DB_11,0,-28.63487,26.793,
20637359,Colenso,2726CA_24,0,-27.70961,26.16067,
20637360,Wonderbaar,2726CA_24,0,-27.71858,26.17746,
20637362,Kalkpan,2726CA_24,0,-27.74341,26.17095,
20637361,Kalkpan,2726CA_24,0,-27.72737,26.18939,
20644139,Maizelands,2828BB_21,0,-28.24058,28.75547,
20644140,Ninas Rust,2828BB_21,0,-28.24488,28.79158,
20644141,Tamboekieskop,2828BB_21,0,-28.22385,28.79648,
20644142,Christinas Vreugde,2828BB_21,0,-28.22468,28.76247,
20644143,Groendraai,2828BB_21,0,-28.20633,28.7961,
20644144,Nooitgedacht,2828BB_22,0,-28.2473,28.80792,
20644145,Smaldeel,2828BB_22,0,-28.23038,28.81602,
20644146,Libertas,2828BB_22,0,-28.22405,28.84227,
20644147,Thaba Buldis,2828BB_22,0,-28.20938,28.84167,
20644148,St. Liver,2828BB_22,0,-28.20852,28.81808,
20644149,Smaldeel,2828BB_23,0,-28.23784,28.85975,
20644150,Felicitas,2828BB_23,0,-28.22734,28.86972,
20644151,Aberfeldy,2828BB_23,0,-28.21338,28.85665,
20644152,Christiana,2828BB_24,0,-28.24492,28.94509,
20644153,Toekomst,2828BB_24,0,-28.24871,28.92373,
20644154,Lottie,2828BB_24,0,-28.22965,28.92718,
20644155,Goede Hoop,2828BB_24,0,-28.20389,28.94368,
20644156,Mooi Roos,2828BB_19,0,-28.19986,28.91793,
20644157,Michal,2828BB_25,0,-28.21609,28.95489,
20644158,Platkop,2828BB_25,0,-28.21418,28.97384,
20644159,Platkop,2828BB_25,0,-28.20801,28.98811,
20644160,Visgat,2828BA_1,0,-28.00785,28.51235,
20644161,Tierhoek,2828BA_1,0,-28.04919,28.50743,
20644295,Erin,2829AA_11,0,-28.12547,29.04539,
20644296,Sterkfontein,2925BC_4,0,-29.27408,25.69219,
20644297,Rushen,2829AA_11,0,-28.12175,29.04555,
20644298,Plauen,2829AA_12,0,-28.12803,29.05548,
20644299,Driehoek,2829AA_12,0,-28.14372,29.06893,
20643943,Isabella,2826DD_10,0,-28.83361,26.98503,
20643944,Jaglaagte,2826DD_10,0,-28.82996,26.98941,
20644162,Vetpan,2828BA_1,0,-28.04743,28.53456,
20644163,Vetpan,2828BA_1,0,-28.04239,28.53732,
20644164,Vetpan,2828BA_2,0,-28.0226,28.5606,
20644165,Richardspan,2828BA_2,0,-28.03896,28.57745,
20644166,Moedersdeel,2828BA_2,0,-28.02927,28.59847,
20644167,Welverdiend,2828BA_3,0,-28.04362,28.62552,
20644168,Geluk,2828BA_3,0,-28.03855,28.63912,
20644169,Uitkyk,2828BA_3,0,-28.01853,28.62368,
20644170,Paris,2828BB_1,0,-28.03337,28.76745,
20644171,Susannasrust,2828BA_3,0,-28.01753,28.6035,
20644172,Mooiplaas,2828BB_1,0,-28.04127,28.77736,
20644173,Swartfontein,2828BA_3,0,-28.01357,28.60443,
20644174,Platvlei,2828BA_3,0,-28.00266,28.62587,
20644175,Eureka,2828BA_4,0,-28.04457,28.67712,
20644176,Geluk,2828BA_4,0,-28.03467,28.68843,
20644177,Boomplaas,2828BA_4,0,-28.00522,28.65488,
20644178,Delville,2828BA_4,0,-28.00772,28.67907,
20644179,Mooifontein,2828BA_5,0,-28.00599,28.70215,
20644300,Smaldeel,2829AA_12,0,-28.11211,29.05302,
20644301,Belle Rose,2829AA_13,0,-28.13754,29.10624,
20644302,The Oaks,2829AA_13,0,-28.1273,29.14733,
20644303,The Dam,2829AA_13,0,-28.12064,29.12347,
20644304,Sondersorg,2925BC_5,0,-29.27252,25.71116,
20644305,Mountain View,2829AA_14,0,-28.13869,29.17881,
20644306,Vrederus,2925BC_5,0,-29.27894,25.71806,
20644307,Aldershot,2925BC_5,0,-29.28813,25.73373,
20644308,Lente,2925BC_10,0,-29.31781,25.71699,
20644309,Palmyra,2925BC_9,0,-29.30066,25.69044,
20644310,Nagverdiend,2925BC_9,0,-29.33614,25.67349,
20644311,Middelkraal,2925BC_9,0,-29.34164,25.66018,
20644312,Uitsig,2829AA_15,0,-28.10762,29.2327,
20644313,Uithoek,2829AA_15,0,-28.1358,29.23736,
20644314,Bergvliet,2829AA_14,0,-28.12627,29.19665,
20644315,Driehoek,2829AA_20,0,-28.18827,29.20781,
20644316,Lorraine,2829AA_20,0,-28.1785,29.20611,
20644317,Mooihoek,2829AA_19,0,-28.19581,29.16659,
20644318,Mount Everest,2829AA_19,0,-28.16523,29.18125,
20643945,Doringkroom,2826DD_10,0,-28.80663,26.99325,
20643946,Fonteinloop,2826DD_9,0,-28.83853,26.925,
20643947,Ceres,2826DD_14,0,-28.85098,26.9124,
20643948,Waterval B,2826DD_9,0,-28.81056,26.94158,
20643949,Waterval A,2826DD_9,0,-28.80852,26.93005,
20643950,Vlakfontein,2826DD_9,0,-28.80524,26.93775,
20643951,Mooivlakte,2826DD_8,0,-28.84801,26.86101,
20643952,Lekkerlewe,2826DD_8,0,-28.8375,26.85364,
20643953,Dankbaar,2826DD_8,0,-28.84217,26.88641,
20643954,Johannasrust,2826DD_8,0,-28.82306,26.87426,
20643955,Bovenvlei,2826DD_8,0,-28.82434,26.8885,
20643956,Nooitverwacht,2826DD_8,0,-28.81704,26.8874,
20643957,Nooitverwacht,2826DD_8,0,-28.81391,26.88337,
20643958,Atheloon,2826DD_8,0,-28.81506,26.86089,
20643959,Adriana,2826DD_8,0,-28.80809,26.86179,
20643960,Patentie,2826DD_8,0,-28.8055,26.87314,
20643961,Bertina,2826DD_7,0,-28.80336,26.84958,
20643962,Grootgewaagd,2826DD_8,0,-28.80722,26.8818,
20643963,Isabellasfontein,2826DD_7,0,-28.84021,26.81943,
20643964,Die hoop,2826DD_7,0,-28.83197,26.80458,
20643965,Blydskap,2826DD_7,0,-28.8369,26.8427,
20644180,Vaalpant,2828BA_5,0,-28.00242,28.70327,
20644181,Môreson,2828BA_5,0,-28.03451,28.71482,
20644182,Vocato,2828BA_5,0,-28.0306,28.72387,
20644183,Estelle,2828BA_5,0,-28.023,28.73801,
20644184,Allemanspruit,2828BA_10,0,-28.09042,28.7094,
20644185,Nacht Wacht,2828BA_10,0,-28.09319,28.72326,
20644186,Georgina,2828BA_15,0,-28.13743,28.7264,
20644187,Allemanspruit,2828BA_15,0,-28.11039,28.74748,
20644188,Goedgedacht,2828BA_14,0,-28.14579,28.66105,
20644189,St. Julian,2828BA_14,0,-28.13912,28.69234,
20644190,De Millander,2828BA_14,0,-28.12775,28.68053,
20644191,Uitlanderskraal,2828BA_14,0,-28.11279,28.67621,
20644192,Slangrivier,2828BA_14,0,-28.10502,28.6642,
20644193,Somerslus,2828BA_13,0,-28.11489,28.64045,
20644194,Truia,2828BA_13,0,-28.10247,28.64452,
20644195,Jolly Kop,2828BA_13,0,-28.118,28.61293,
20644196,Tweespruit,2828BA_9,0,-28.09456,28.65674,
20644197,Liefde,2828BA_8,0,-28.09693,28.62081,
20644319,Hope Cottage,2829AA_18,0,-28.18167,29.14701,
20644320,Louisa's Mount,2829AA_18,0,-28.17853,29.12921,
20644321,Louisa's Mount,2829AA_18,0,-28.16207,29.12411,
20644322,Verona,2925BC_9,0,-29.32387,25.69053,
20644323,The Lake,2829AA_18,0,-28.16382,29.14708,
20644324,Balmoral,2829AA_17,0,-28.19174,29.08194,
20644325,Nobelia,2829AA_17,0,-28.18765,29.09265,
20644326,Van Heerdernsdam,2925BC_8,0,-29.30844,25.62933,
20644327,La Bonheur,2829AA_17,0,-28.18972,29.05688,
20644328,Gailian,2829AA_17,0,-28.16052,29.06765,
20644329,Glen Paul,2829AA_17,0,-28.16096,29.07899,
20644330,Brinkvesta,2829AA_17,0,-28.15414,29.05748,
20644331,Maggresrust,2829AA_16,0,-28.15462,29.04941,
20644332,Tafelkop,2925BC_8,0,-29.34648,25.6249,
20644333,Eureka,2829AA_16,0,-28.15775,29.03719,
20644334,Wildebeespan,2829AA_16,0,-28.19211,29.01426,
20644335,Springbok,2925BC_7,57.3535,-29.30956,25.58558,
20643966,Tweevlei,2826DD_7,0,-28.81739,26.80975,
20643967,Roelofsfontein,2826DD_7,0,-28.81316,26.83135,
20643968,Hou Moed,2826DD_6,0,-28.83543,26.79434,
