original_locality,original_qds,latitude,longitude,precision,precby,correctedaddress,gmapslink,farm
"1 km W. of entrance gate, Royal Natal National Park",2828DB,0,0,0,johaadienr,"Free State, South Africa","http://www.google.co.za/maps/place/0,0",0
"2.5 km SSE of Glen Reenen Caravan Park, Golden Gate Highlands National Park",2828DA,-28.5166667,28.6166667,APPROXIMATE,johaadienr,"Golden Gate Highlands National Park, Clarens, 9707, South Africa","http://www.google.co.za/maps/place/-28.5166667,28.6166667",0
Alex Pan Farm; about 30km NE of Harrismith; found in the grasslands,2829AB,-28.15944,29.31877,FARMPRECISION,johaadienr,Alexpan,"http://www.google.co.za/maps/place/-28.15944,29.31877",Farm matched is Alexpan with 88+ accuracy
"Basutho Hill above Wilge Park, Harrismith",2829AC,-28.283333,29.133333,APPROXIMATE,johaadienr,"Harrismith, South Africa","http://www.google.co.za/maps/place/-28.283333,29.133333",0
Beacon Buttress at top of Sentinel Gully,2828DB,0,0,0,johaadienr,"Free State, South Africa","http://www.google.co.za/maps/place/0,0",0
below Sentinel Rd ~500m before Sentinel trail carpark,2828DB,0,0,0,johaadienr,"Free State, South Africa","http://www.google.co.za/maps/place/0,0",0
Bethlehem,2828AA,-28.233333,28.3,APPROXIMATE,johaadienr,"Bethlehem, South Africa","http://www.google.co.za/maps/place/-28.233333,28.3",0
Betlehem.,2828AA,-28.233333,28.3,APPROXIMATE,johaadienr,"Bethlehem, South Africa","http://www.google.co.za/maps/place/-28.233333,28.3",0
Blesbok Loop,2828DA,-29.06722809999999,26.3611142,GEOMETRIC_CENTER,johaadienr,"Blesbok Avenue, Bloemfontein, South Africa","http://www.google.co.za/maps/place/-29.06722809999999,26.3611142",0
BLOEMFONTEIN,2926AA,-29.116667,26.216667,APPROXIMATE,johaadienr,"Bloemfontein, South Africa","http://www.google.co.za/maps/place/-29.116667,26.216667",0
Chain ladders,2828DB,-28.7480556,28.8794444,APPROXIMATE,johaadienr,"Chain Ladder, South Africa","http://www.google.co.za/maps/place/-28.7480556,28.8794444",0
"Chain ladders, Middle Stage",2828DB,0,0,0,johaadienr,"Free State, South Africa","http://www.google.co.za/maps/place/0,0",0
Chartworth 388,2829BA,39.4714761,-76.81856069999999,RANGE_INTERPOLATED,johaadienr,"388 East Chatsworth Avenue, Reisterstown, MD 21136, USA","http://www.google.co.za/maps/place/39.4714761,-76.81856069999999",0
Cliffs around Sentinel Cave,2828DB,0,0,0,johaadienr,"Free State, South Africa","http://www.google.co.za/maps/place/0,0",0
"Drakensberg, Western Slope",2828DB,0,0,0,johaadienr,"Free State, South Africa","http://www.google.co.za/maps/place/0,0",0
EVENSTON A (115),2827AB,39.1312585,-76.7241907,GEOMETRIC_CENTER,johaadienr,"West Evanston Court, Severn, MD 21144, USA","http://www.google.co.za/maps/place/39.1312585,-76.7241907",0
FARM ALLANVALE (249),2729DA,-27.69774,29.65304,FARMPRECISION,johaadienr,Allanvale,"http://www.google.co.za/maps/place/-27.69774,29.65304",Farm matched exactly
FARM ARCADIA (187),2728CC,-27.05884,27.77396,FARMPRECISION,johaadienr,Arcadia,"http://www.google.co.za/maps/place/-27.05884,27.77396",Multiple farms found
FARM BACHELOR'S HOME (800),2829BA,-28.13906,29.53098,FARMPRECISION,johaadienr,Bachelor's Home,"http://www.google.co.za/maps/place/-28.13906,29.53098",Farm matched exactly
FARM BERGKLOOF (203),3027AC,-30.33157,27.31623,FARMPRECISION,johaadienr,Bergkloof,"http://www.google.co.za/maps/place/-30.33157,27.31623",Farm matched exactly
FARM BERLIN (497),2729AA,-27.32712,29.04057,FARMPRECISION,johaadienr,Berlin,"http://www.google.co.za/maps/place/-27.32712,29.04057",Multiple farms found
FARM BETHEL (6),2827BA,-27.70122,27.64211,FARMPRECISION,johaadienr,Bethel,"http://www.google.co.za/maps/place/-27.70122,27.64211",Multiple farms found
FARM BIDDULPHSBERG (9),2827BD,0,0,FARMPRECISION,johaadienr,Closest match Bulsberg with certainty of 76,"http://www.google.co.za/maps/place/0,0",No farm found
FARM BON HAVEN (1692),2829AC,0,0,FARMPRECISION,johaadienr,Closest match Peace Haven with certainty of 67,"http://www.google.co.za/maps/place/0,0",No farm found
Farm Boundary Slopes 11081; Free State-KwaZulu-Natal boundary,2829BA,0,0,FARMPRECISION,johaadienr,Closest match Hyslop with certainty of 74,"http://www.google.co.za/maps/place/0,0",No farm found
FARM BRAUNZIJNKOP (1126),2726DD,0,0,FARMPRECISION,johaadienr,Closest match Brand with certainty of 72,"http://www.google.co.za/maps/place/0,0",No farm found
FARM BROCKENHURST (273),2727DC,-27.90536,27.6903,FARMPRECISION,johaadienr,Brokenhurst,"http://www.google.co.za/maps/place/-27.90536,27.6903",Farm matched is Brokenhurst with 88+ accuracy
FARM CAMPEN (308),2829AD,-28.29736,29.32777,FARMPRECISION,johaadienr,Campen,"http://www.google.co.za/maps/place/-28.29736,29.32777",Farm matched exactly
FARM CARLIE (555),2826BB,-28.10964,26.98573,FARMPRECISION,johaadienr,Carlie,"http://www.google.co.za/maps/place/-28.10964,26.98573",Farm matched exactly
FARM DEALBATA (363),2728DC,-27.9016,28.52475,FARMPRECISION,johaadienr,Dealbata,"http://www.google.co.za/maps/place/-27.9016,28.52475",Farm matched exactly
FARM DOORNLAND (649),2727CB,0,0,FARMPRECISION,johaadienr,Closest match Doornpan with certainty of 82,"http://www.google.co.za/maps/place/0,0",No farm found
FARM ELANDSFONTEIN (990),2728CC,-27.56812,29.41682,FARMPRECISION,johaadienr,Elandsfontein,"http://www.google.co.za/maps/place/-27.56812,29.41682",Multiple farms found
FARM FRANCINA (680),3027CA,-27.79163,27.14962,FARMPRECISION,johaadienr,Francina,"http://www.google.co.za/maps/place/-27.79163,27.14962",Multiple farms found
FARM FRASERSPRUIT (94),2829AC,-28.35457,29.09705,FARMPRECISION,johaadienr,Fraserspruit,"http://www.google.co.za/maps/place/-28.35457,29.09705",Farm matched exactly
FARM GOEDETROUW (456),2728CD,-27.79472,28.3112,FARMPRECISION,johaadienr,Goed-en-Trou,"http://www.google.co.za/maps/place/-27.79472,28.3112",Farm matched is Goed-en-Trou with 50+ accuracy and same QDS
FARM GROOTKRANS (71),2727DB,-27.61924,27.90041,FARMPRECISION,johaadienr,De Grootkrans,"http://www.google.co.za/maps/place/-27.61924,27.90041",Multiple farms found
FARM HEBRON (674),3026AB,-30.02522,26.35077,FARMPRECISION,johaadienr,Hebron,"http://www.google.co.za/maps/place/-30.02522,26.35077",Multiple farms found
Farm Heine,2728AD,-27.33565,28.34666,FARMPRECISION,johaadienr,Heine,"http://www.google.co.za/maps/place/-27.33565,28.34666",Multiple farms found
FARM HOOGEVELD (2439),2727CC,-27.99848,27.70943,FARMPRECISION,johaadienr,Hoogeveld,"http://www.google.co.za/maps/place/-27.99848,27.70943",Farm matched exactly
FARM HOUTKOP (326),2727BC,-27.38148,27.62972,FARMPRECISION,johaadienr,Houtkop,"http://www.google.co.za/maps/place/-27.38148,27.62972",Multiple farms found
FARM KALKOENKRANS (280),2828BB,-27.90395,27.95802,FARMPRECISION,johaadienr,Kalkoenkrans,"http://www.google.co.za/maps/place/-27.90395,27.95802",Multiple farms found
Farm Klawervlei,2829CA,-27.8967,29.11327,FARMPRECISION,johaadienr,Klawervlei,"http://www.google.co.za/maps/place/-27.8967,29.11327",Farm matched exactly
FARM KLIPPLAAT (380),2728BD,-27.28385,27.68827,FARMPRECISION,johaadienr,Klipplaatdrif,"http://www.google.co.za/maps/place/-27.28385,27.68827",Multiple farms found
