Feature,Category
Windmill,1
Admin. District,1
Agricultural,1
Agricultural,1
Agricultural College,1
Agricultural Research Centre,1
Agricultural School,1
Airfield,1
Airport,1
Air Transportation (Landing Strip),1
Airfield,1
Airport,1
Area,1
Area Settlement/Group of huts,1
Baai,1
Baken,1
Bank,1
Battlefield,1
Bay,1
Bay,1
Beach,1
Beach,1
Ben,1
Berg,1
Berge,1
Building,1
Border Post,1
Border Post,1
Brickworks,1
Bridge,1
Bridge,1
Bult,1
Bulte,1
Bush Area,1
Camp,1
Canal,1
Canal,1
Canyon,1
Cape,1
Cave,1
Cemetery,1
Cemetery,1
centroid of 1:50 000 map sheet,1
Channel,1
Channel,1
Cliff,1
Cliff,1
Coastline (Coastal Rock),1
Coastline (Coastline),1
Coastline (Coastline Beach),1
Coastline (Cove),1
Coastline (Lighthouse/Marine Beacon),1
College,1
Cove,1
Dam,1
Dam,1
Dam wall,1
Dam,1
Dam,1
Dam wall,1
Demarcation Board places,1
Desert,1
Digitised off 500k 1900-1919 topographical map,1
District,1
Demarcation Board places,1
Docks,1
Drift (river crossing),1
Drift (river crossing),1
Drift (river crossing),1
Dry Area,1
Dry Water Course,1
Dry Water Course (Dry Water Course),1
Original (parent) farm data,1
Desert,1
Dune,1
Dune,1
Dune,1
Island,1
Wetland [END WETLND],1
EST,1
Wetland [EST WETLAN],1
Wetland [EST WETLND],1
Wetland [EST WETND],1
ESTUARY,1
Wetland [ESTV WETLN],1
Wetland [ESTWETLND],1
Falls,1
Falls,1
Farm,1
FOLD,1
Spring [Fontein],1
Forest,1
Forest Reserve,1
Forest Station,1
Forest Station,1
Forest (Other),1
Forest (State),1
Forest Station,1
Forest Station,1
Farm,1
Farming,1
Forest,1
Furrow,1
Furrow,1
Game Reserve,1
Hole [Gat],1
Gorge,1
Gorge,1
Group of Huts,1
Guard Post,1
Guard`s Post,1
Guard Post,1
Harbour,1
Harbour (Dock),1
Harbour,1
Harbour,1
Head,1
Hill [Heuwel],1
Hills [Heuwels],1
Hill,1
Hills,1
Corner [Hoek],1
Hoekies,1
Holy Grave,1
High [Hoog],1
Height [Hoogte],1
Hill [Hoop],1
Hospital,1
Hospital,1
Hotel,1
Hypsometry (Kop),1
Hypsomerty (Kloof),1
Hypsometry (Cliff),1
Hypsometry (Kloof,1
Hypsometry (Kloof),1
Hypsometry (Kop),1
Hypsometry (Mountain),1
Hypsometry (Mountain Range),1
Hypsometry (Pass),1
Hypsometry (Peak),1
Hypsometry (Plateau),1
Hypsometry (Ridge),1
Hypsometry (Ridge)),1
Hypsometry (Valley),1
HypsometryKop),1
HypsometryRidge),1
Hysomerty (Kop),1
Hysometry (Kloof),1
Hysometry (Kop),1
Industrial,1
Industrial,1
Industrial,1
Industrial,1
Industrial,1
Industrial,1
Island,1
Island,1
Island,1
Island,1
Isthmus [?],1
Canal,1
Rock,1
Rocks,1
Kloof,1
Kolk,1
Kom,1
kop,1
Koppe,1
Koppie,1
Koppies,1
Krans,1
Kranse,1
Krantz,1
Laagte,1
Lagoon,1
Lagoon,1
Lagoon,1
Lake,1
Lake,1
Lake (Ox Bow Lake),1
Lake Vlei (Lake Vlei),1
Landbou Kollege,1
Landing Strip,1
Bay,1
Leegte,1
Lighthouse,1
Loop,1
Wetland,1
Wetland,1
Wetland,1
Marsh Vlei,1
Marsh Vlei (Marsh Vlei),1
Magisterial districts,1
Mine,1
Mine,1
Mission,1
Mission,1
Mission Station,1
Wetland,1
Mission [MOMISS?],1
Mouth,1
Monument,1
Monument (Historical),1
Monument (National),1
Mountain,1
Mountains,1
Mouth,1
Mozambique Districtal Villages,1
Mozambique locality,1
Mozambique shapefile Moz Main cities,1
Marsh,1
Mission,1
Mountain,1
Mountain,1
Mountains,1
Mountains,1
Museum,1
MY,1
Myn,1
N,1
National Park,1
Nature Reserve,1
Nature Reserve,1
Nature Reserve,1
Nature Reserve,1
Nature Reserve,1
Nature Reserve,1
Nek,1
Neus,1
NO 1,1
NT,1
Observatory,1
Ocean,1
on D3021,1
Open Urban Land,1
Ocean,1
Other,1
P.H.A.,1
Protected areas,1
Pad,1
Pan,1
Pan (Dry),1
Pan (Dry),1
Pan (Dry),1
Pan (Dry Perennial),1
Pan (Dry Perennial),1
Pan (Dry Perennial),1
Pan (Dry Perennial),1
Pan (Dry Non-Perennial),1
Pan (Dry Perennial),1
Pan (Dry Perennial),1
Pan (Non Perennial),1
Pan (Non Perennial),1
Pan (Perennial),1
Pan (Dry),1
PANS,1
Pans,1
Park,1
Pass,1
Pass,1
Pass,1
Pass,1
Pass,1
Patrol Post,1
Peak,1
Peninsula,1
Peninsula,1
Personal GPS data,1
Peak,1
Peak,1
Plaat,1
Plaats,1
Plantation,1
Plate,1
Plateau,1
Plantation,1
Plantation,1
Point from SAGNS name change list,1
Point from Zoo-historical Gazetterr for sn Af,1
Police Station,1
Pond,1
Pool,1
Poort,1
Poortjie,1
Populated Place,1
Populated Place,1
Populated Place,1
Post Office,1
Power station,1
Prison,1
Protected areas,1
Province,1
point,1
point,1
points,1
Puts,1
Hill,1
Quarantine,1
Railway,1
Railway siding,1
Railway Station,1
Railway Station,1
Railways,1
Railways,1
Railways,1
Railway Station,1
Railways,1
Railways (Yard),1
Railway Station,1
Railway Station,1
Railway Station,1
Railway Station,1
Railway Station,1
Rand,1
Range,1
Rant,1
Rante,1
Rantjies,1
River bed,1
Rock,1
Rocks,1
Ridge,1
Read off scanned 250k map,1
Read off scanned 500k map,1
Read off scanned 50k map,1
Reef,1
Region,1
Region,1
Republic,1
RES,1
Research Institute,1
Reservoir,1
Reservoir (Water),1
Resort,1
Resort,1
Ridge,1
Rif,1
Rio,1
River,1
River (Bridge),1
River Bend,1
River crossing,1
River (Bridge),1
River Mouth,1
River Mouth,1
River Mouth,1
River Mouth,1
River Mouth,1
River Mouth,1
River Mouth,1
Rivers (Perennial),1
Rivers (Double Non Perennial),1
Rivers (Double Perennial),1
Rivers (Non Perennial),1
Rivers (Perennial),1
Rivers (Single Non Perennial),1
Rivers (Single Perennial),1
River Mouth,1
River Mouth,1
Rivier,1
River Mouth,1
Rivers (Perennial),1
RMG,1
Road,1
Road (Bridge),1
Road (Trail Hiking),1
Road (Bridge),1
Road (Drift),1
Road,1
Road (Trail Hiking),1
Road (Tunnel),1
Road,1
Road (Bridge),1
Rock,1
Rock Outcrop (Rock Outcrop),1
Rocks,1
Farms (cadasters),1
Railway Station,1
Railway Station,1
Rug,1
ruggens,1
Ruin,1
SA official Geogr. Names.,1
Sandy Area,1
Sawmill,1
School,1
Railway siding,1
SECP,1
SECS,1
Settlement,1
Settlement,1
Settlement/Group of huts,1
Shoal,1
Shore,1
Siphon,1
Site,1
Sloot,1
Small centre,1
Source,1
Spa,1
Spring,1
Spring,1
Spruit,1
Wetland [ST WETLND],1
Station,1
Station,1
Store,1
Store,1
Street,1
Stream,1
Stream,1
Stream,1
Studam,1
Swamp,1
Syfer,1
Tea Estate,1
Territory,1
Tower,1
Town,1
Trail,1
Tunnel,1
Tunnel (Railway Tunnel),1
University,1
Unknown,1
Upland,1
Urban Area (Urban Area),1
Urban Area,1
Urban Area (Urban Area),1
Urban Area (Urban Area,1
Valley,1
Valley,1
Valley,1
Cattle post,1
Flats [Vlakte],1
Vlei,1
Floor [Vloer],1
Vloerlaagte,1
Voor,1
Water,1
Waterfall,1
Waterfall,1
Weir,1
Well,1
Windmill,1
Wreck,1
Waterhole,1
Waterhole,1
Waterpoint,1
Y,1
