Locality,Minimum_elevation_in_meters,Maximum_elevation_in_meters,Decimal_latitude,Decimal_longitude,Coordinate_uncertainty_in_meters,Coords_uncertainty_description,Coords_source,Locus
La Cotte 736,,,-23.7,30.71,,degree and integer minute,,2330DA
"Levuhu River, farm",,,-22.87,30.87,,centroid of 15x15 minute grid (QDS),,2230DD
Kruger National  Park,,,-23.62,31.37,,centroid of 15x15 minute grid (QDS),,2331CB
,,,-22.87,29.62,,centroid of 15x15 minute grid (QDS),,2229DC
"Wolkberg Wilderness Area, 15 km SE of Haenetsburg",,,-24.01,30.07,,"degree, minute and integer second",,2430AA
"Wolkberg Wilderness Area, along the top of the three crests",,,-24.01,30.07,,"degree, minute and integer second",,2430AA
"Soutpansberg, Goro game farm house",,,-22.94,29.41,,"degree, minute and integer second",,2229CD
Haenertsburg,,,-23.93,29.93,,degree and integer minute,,2329DD
"Kruger National Park, Kanniedood Dam (Shingwedzi)",,,-23.13,31.45,,"degree, minute and integer second",,2331AB
Levuvhu River Viewpoint (on Mahonie loop),,,-22.64,30.94,,"degree, minute and integer second",,2230DB
Olifants River; Mamba gauging weir; KNP,,,-24.06,31.24,,0-250 m,,2431AA
Olifants River Gorge; KNP,,,-23.96,31.87,,0-250 m,,2331DD
Olifants River; Kruger National Park,,,-24.06,31.68,,0-250 m,,2431BA
"Oppie dam, Kempiana 90KU",,,-24.45,31.33,,"degree, minute and integer second",,2431AD
"Oppy Dam, Kempiana 90KU",,,-24.45,31.33,,"degree, minute and integer second",,2431AD
"Kruger National Park, Bobomene Veterinary Camp",,,-22.42,31.2,,"degree, minute and integer second",,2231AC
"Kruger National Park, Olifants River below Olifants Trail Camp",,,-23.99,31.8,,"degree, minute and integer second",,2331DD
Levuvhu River; 1.40km SW of Crooks Corner; Makuleke Region; KNP; Limpopo.,,,-22.43,31.29,,0-250 m,,2231AD
"Mhinga, Levuhi River",,,-20.75,30.93,,degree and integer minute,,2030DD
"LEVUBU RIVER, NEAR MHINGA VILLAGE",,,-22.75,30.93,,degree and integer minute,,2230DD
"Punda Maria, Ndabeni River",,,-22.68,31.03,,degree and integer minute,,2231CA
"Pafuri, Makuleka",,,-22.41,31.3,,degree and integer minute,,2231AD
Clearwaters,,,-23.85,29.98,,degree and integer minute,,2329DD
"Farm Crimea, 747",,,-22.87,29.62,,centroid of 15x15 minute grid (QDS),,2229DC
Woodbush Forest,,,-23.86,29.98,,degree and integer minute,,2329DD
"Farm Oorwinning, 713",,,-22.87,29.87,,centroid of 15x15 minute grid (QDS),,2229DD
"Farm Oorwining, 713",,,-22.87,29.87,,centroid of 15x15 minute grid (QDS),,2229DD
Grootbosch nr Helpmekaar Drift,,,-23.87,30.37,,centroid of 15x15 minute grid (QDS),,2330CD
Zandspruit,,,-27.25,29.88,,degree and integer minute,,2729BD
farm Botse Rach; 10km E of Vivo; Limpopo.,,,-23.05,29.28,,0-250 m,,2329AB
Farm Sterkrivier Nedersetting (SRNS) 253KR,,,-24.12,28.62,,centroid of 15x15 minute grid (QDS),,2428BA
Farm Groothoek 278KQ,,,-24.37,27.62,,centroid of 15x15 minute grid (QDS),,2427BC
Percy Fyfe Nature Reserve,,,-24.12,29.12,,centroid of 15x15 minute grid (QDS),,2429AA
Farm Buffelshoek 277KR,,,-24.37,28.62,,centroid of 15x15 minute grid (QDS),,2428BC
"Farm Ashton, 20 km W of Wyllies Poort",,,-22.87,29.62,,centroid of 15x15 minute grid (QDS),,2229DC
Ceylon  Area,,,-24.05,30.13,,degree and integer minute,,2430AA
"Lajuma Lodge, Soutpansberg",,,-23.03,29.43,,"degree, minute and integer second",,2329AB
"Farm Fancy, 24 28 20.7 S, 27 36 28.6 E",,,-24.47,27.6,,"degree, minute and integer second",,2427BC
Thabazimbi,,,-24.62,27.37,,centroid of 15x15 minute grid (QDS),,2427CB
