original_locality,original_qds,latitude,longitude,precision,precby,correctedaddress,gmapslink,farm
La Cotte 736,2330DA,-23.70867,30.58927,FARMPRECISION,johaadienr,La Cotte                                                                                                                                              ,"http://www.google.co.za/maps/place/-23.70867,30.58927",Farm matched exactly
"Levuhu River, farm",2230DD,-22.18896,29.87151,FARMPRECISION,johaadienr,River,"http://www.google.co.za/maps/place/-22.18896,29.87151",Farm matched is River with 88+ accuracy
Kruger National  Park,2331CB,-23.8214244,31.4456179,APPROXIMATE,johaadienr,"Kruger National Park, South Africa","http://www.google.co.za/maps/place/-23.8214244,31.4456179",Distance from original qds: 0.934512363597064
,2229DC,0,0,0,johaadienr,"Limpopo, South Africa",,0
"Wolkberg Wilderness Area, 15 km SE of Haenetsburg",2430AA,-24.0567041,30.0896313,APPROXIMATE,johaadienr,"Wolkberg (Serala) Wilderness Area, Haenertsburg, South Africa","http://www.google.co.za/maps/place/-24.0567041,30.0896313",Distance from original qds: 0.10606189182029628
"Wolkberg Wilderness Area, along the top of the three crests",2430AA,-24.0567041,30.0896313,APPROXIMATE,johaadienr,"Wolkberg (Serala) Wilderness Area, Haenertsburg, South Africa","http://www.google.co.za/maps/place/-24.0567041,30.0896313",Distance from original qds: 0.10606189182029628
"Soutpansberg, Goro game farm house",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
Haenertsburg,2329DD,-23.9457558,29.9400837,APPROXIMATE,johaadienr,"Haenertsburg, South Africa","http://www.google.co.za/maps/place/-23.9457558,29.9400837",Distance from original qds: 1.333495930342245
"Kruger National Park, Kanniedood Dam (Shingwedzi)",2331AB,0,0,0,johaadienr,0,,0
Levuvhu River Viewpoint (on Mahonie loop),2230DB,0,0,0,johaadienr,0,,0
Olifants River; Mamba gauging weir; KNP,2431AA,-24.2020839,30.905298,APPROXIMATE,johaadienr,"Olifants River, South Africa","http://www.google.co.za/maps/place/-24.2020839,30.905298",Distance from original qds: 0.22317341114749975
Olifants River Gorge; KNP,2331DD,0,0,0,johaadienr,0,,0
Olifants River; Kruger National Park,2431BA,-24.2020839,30.905298,APPROXIMATE,johaadienr,"Olifants River, South Africa","http://www.google.co.za/maps/place/-24.2020839,30.905298",Distance from original qds: 0.22317341114749975
