gid,entity_nam,reference1,gmrotation,lat,lng,
21837945,Poortjie                                                                                                                                              ,2729AA_4            ,0,-27.03074,29.1628,
21837973,Erdzak                                                                                                                                                ,2729AA_5            ,0,-27.0096,29.24627,
21837957,Poortjie                                                                                                                                              ,2729AA_4            ,0,-27.03122,29.18099,
21837968,Grootfontein                                                                                                                                          ,2729AA_5            ,0,-27.01443,29.22719,
21837986,Hillside                                                                                                                                              ,2729AA_5            ,0,-27.04608,29.21308,
21837984,Cy us                                                                                                                                                 ,2729AA_5            ,0,-27.04485,29.22949,
21837836,Brakspruit                                                                                                                                            ,2729AA_3            ,0,-27.01074,29.10041,
21837872,Vaalrivierdrift                                                                                                                                       ,2729AA_3            ,0,-27.02994,29.11257,
21148199,Witrivier                                                                                                                                             ,2730BD_5            ,0,-27.26666,30.96712,
21146397,Confidence                                                                                                                                            ,2731AA_22           ,0,-27.22205,31.07237,
21146479,Sulphur Springs                                                                                                                                       ,2731AA_22           ,0,-27.20136,31.0822,
22026943,Heimer                                                                                                                                                ,2728BB_2            ,0,-27.00331,28.80872,
21837927,Goedgevonden                                                                                                                                          ,2729AA_4            ,0,-27.01629,29.15883,
21837888,Goedgevonden                                                                                                                                          ,2729AA_3            ,0,-27.0067,29.13273,
21859900,Darling                                                                                                                                               ,2729AB_2            ,0,-27.01838,29.32517,
21859915,Darling                                                                                                                                               ,2729AB_2            ,0,-27.00366,29.31904,
21859929,Darling                                                                                                                                               ,2729AB_2            ,0,-27.02885,29.31049,
20655456,Wasbank                                                                                                                                               ,2528DD_5            ,0,-25.78064,28.96354,
20655459,Môreson                                                                                                                                               ,2528DD_5            ,0,-25.79066,28.96629,
20655462,Wasbank                                                                                                                                               ,2528DD_5            ,0,-25.75623,28.98119,
20655463,Wasbank                                                                                                                                               ,2528DD_5            ,0,-25.77255,28.97278,
20655464,Wasbank                                                                                                                                               ,2528DD_5            ,0,-25.7806,28.98829,
20655465,Wasbank                                                                                                                                               ,2528DD_5            ,0,-25.78222,28.97828,
20655466,Waschbank                                                                                                                                             ,2528DD_5            ,0,-25.76517,28.97554,
20655467,Goedvertrou                                                                                                                                           ,2528DD_10           ,0,-25.80716,28.99687,
20655468,Goedvertrou                                                                                                                                           ,2528DD_10           ,0,-25.80541,28.9743,
20655469,Goedvertrou                                                                                                                                           ,2528DD_10           ,0,-25.82211,28.96112,
20655501,Clutha                                                                                                                                                ,2531CA_17           ,0,-25.69598,31.07228,
20655512,Zevenfontein                                                                                                                                          ,2530CD_1            ,0,-25.78809,30.27913,
20655513,Sunrise Estate                                                                                                                                        ,2531CA_21           ,0,-25.74989,31.00215,
20655518,Handsup                                                                                                                                               ,2531CA_17           ,0,-25.66864,31.07158,
20655777,Josefsdal                                                                                                                                             ,2531CC_22           ,0,-25.96209,31.07887,
20655781,Sheds                                                                                                                                                 ,2530CD_13           ,0,-25.85571,30.38719,
20655470,Goedvertrou                                                                                                                                           ,2528DD_10           ,0,-25.83186,28.97739,
20655471,Goedvertrou                                                                                                                                           ,2528DD_10           ,0,-25.83553,28.98125,
20655472,Goedvertrou                                                                                                                                           ,2528DD_10           ,0,-25.82132,28.99964,
20655474,Goedvertrouwd                                                                                                                                         ,2528DD_10           ,0,-25.83325,28.98973,
20655475,Eensaamheid                                                                                                                                           ,2528DD_10           ,0,-25.84508,28.98647,
20655476,Eensaamheid                                                                                                                                           ,2528DD_15           ,0,-25.85804,28.98353,
20655477,Eensaamheid                                                                                                                                           ,2528DD_15           ,0,-25.85264,28.98396,
20655478,Eensaamheid                                                                                                                                           ,2528DD_15           ,0,-25.86386,28.96395,
20655479,Eensaamheid                                                                                                                                           ,2528DD_15           ,0,-25.88129,28.96345,
20655480,Eensaamheid                                                                                                                                           ,2528DD_14           ,0,-25.86646,28.94743,
20655481,Eensaamheid                                                                                                                                           ,2528DD_15           ,0,-25.86763,28.98385,
20655482,Suidwes                                                                                                                                               ,2528DD_10           ,0,-25.84661,28.96035,
20655483,Aurora                                                                                                                                                ,2528DD_10           ,0,-25.80617,28.96343,
20655484,Taaiklip                                                                                                                                              ,2528DD_10           ,0,-25.81762,28.95143,
20655487,Riverside                                                                                                                                             ,2531CA_11           ,0,-25.62477,31.0411,
20655488,Eerstegeluk                                                                                                                                           ,2531CA_12           ,0,-25.61593,31.07108,
20655489,Eerstegeluk                                                                                                                                           ,2531CA_12           ,0,-25.60629,31.08845,
20655490,Eerstegeluk                                                                                                                                           ,2531CA_12           ,0,-25.60489,31.08348,
20655491,Paddadors                                                                                                                                             ,2531CA_13           ,0,-25.61219,31.13089,
20655492,Lovedale                                                                                                                                              ,2531CA_15           ,0,-25.64343,31.22346,
20655493,Lovedale                                                                                                                                              ,2531CA_15           ,0,-25.64867,31.23563,
20655494,Koedoeskraal                                                                                                                                          ,2531CA_15           ,0,-25.6399,31.23387,
20655797,Witrivier                                                                                                                                             ,2730BB_24           ,0,-27.2418,30.94516,
20655523,Muhlongo                                                                                                                                              ,2531CA_18           ,0,-25.66995,31.10498,
20655524,Sheba                                                                                                                                                 ,2531CA_19           ,0,-25.68467,31.17152,
20655525,Vierkleur                                                                                                                                             ,2531CA_15           ,0,-25.6424,31.22559,
20655526,Tahiti                                                                                                                                                ,2531CA_15           ,0,-25.64387,31.23799,
20655528,Bon Accord                                                                                                                                            ,2531CA_19           ,0,-25.67452,31.16881,
20655530,Rivierbank                                                                                                                                            ,2531CA_19           ,0,-25.67049,31.18892,
20655535,Eureka                                                                                                                                                ,2531CA_19           ,0,-25.68475,31.18321,
20655537,Avoca                                                                                                                                                 ,2531CA_19           ,0,-25.6832,31.18513,
20655539,Kristal                                                                                                                                               ,2531CA_20           ,0,-25.68844,31.22543,
20655541,Amper Bo                                                                                                                                              ,2531CA_20           ,0,-25.66594,31.2189,
20655822,Kliprivier                                                                                                                                            ,2529DA_1            ,0,-25.51904,29.51218,
20655827,Pumanzi                                                                                                                                               ,2531CA_25           ,0,-25.7255,31.20577,
20655828,Camelot                                                                                                                                               ,2531CA_19           ,0,-25.6824,31.15045,
20655229,Treurfontein                                                                                                                                          ,2530CB_25           ,0,-25.74368,30.46713,
20655231,Merribeek                                                                                                                                             ,2531BD_25           ,0,-25.48797,31.97193,
20655546,Honeybird                                                                                                                                             ,2531CA_20           ,0,-25.66272,31.24048,
20655547,Honeybird                                                                                                                                             ,2531CA_20           ,0,-25.65872,31.24531,
20655549,Escondido                                                                                                                                             ,2531CA_20           ,0,-25.65584,31.23798,
20655555,Sheba                                                                                                                                                 ,2531CA_23           ,0,-25.71024,31.1452,
20655556,Bramber                                                                                                                                               ,2531CA_22           ,0,-25.7136,31.06137,
20655557,Clarenvale                                                                                                                                            ,2531CA_22           ,0,-25.70965,31.06573,
20655558,Kearsney                                                                                                                                              ,2531CA_21           ,0,-25.74968,31.03892,
20655559,Lowlands                                                                                                                                              ,2531CA_21           ,0,-25.73896,31.04424,
