Locality,Minimum_elevation_in_meters,Maximum_elevation_in_meters,Decimal_latitude,Decimal_longitude,Coordinate_uncertainty_in_meters,Coords_uncertainty_description,Coords_source,Locus
Kruger National  Park,,,-24.12,31.62,,centroid of 15x15 minute grid (QDS),,2431BA
,,,-25.62,29.62,,centroid of 15x15 minute grid (QDS),,2529DA
Bridge over Crocodile River; Malelane gate; Kruger NP,,,-25.46,31.53,,0-250 m,,2531BC
"Kruger National Park, 8km SE of Gudzani Dam",,,-24.42,31.96,,"degree, minute and integer second",,2431BD
"Kruger National Park, Sweni Bird Hide",,,-24.47,31.97,,"degree, minute and integer second",,2431BD
"Kruger National Park, Nwanetsi Picnic Spot",,,-24.45,31.97,,"degree, minute and integer second",,2431BD
"Kruger National Park, Piet Grobler Dam",,,-24.24,31.64,,"degree, minute and integer second",,2431BA
"Kruger National Park, Sabie River Low-water Bridge, Skukuza",,,-24.99,31.6,,"degree, minute and integer second",,2431DC
"Kruger National Park, Nsemani Dam",,,-24.39,31.71,,"degree, minute and integer second",,2431BC
"Kruger National Park, Ngwenyeni Windmill",,,-24.61,31.67,,"degree, minute and integer second",,2431DA
"Kruger National Park, Lake Panic, Skukuza Staff Village",,,-24.98,31.57,,"degree, minute and integer second",,2431DC
"Kruger National Park, Skukuza Staff Village Tree House",,,-24.98,31.58,,"degree, minute and integer second",,2431DC
"Kruger National Park, Nwaswitshaka River, Skukuza Staff Village",,,-24.99,31.58,,"degree, minute and integer second",,2431DC
"Kruger National Park, Skukuza Bird Hide",,,-24.98,31.57,,"degree, minute and integer second",,2431DC
"Kruger National Park, Skukuza Low-Water Bridge",,,-24.99,31.6,,"degree, minute and integer second",,2431DC
"Sunset dam, Lower Sabie",,,-25.11,31.91,,"degree, minute and integer second",,2531BB
Sabie River at Lubyelubye stream entrance,,,-25.1,31.88,,"degree, minute and integer second",,2531BB
Sabie River low-water bridge,,,-24.99,31.6,,"degree, minute and integer second",,2431DC
"Silolweni Dam, Tchokwane",,,-24.82,31.83,,"degree, minute and integer second",,2431DD
Blydepoort Dam (Blyderivierpoort 595KT),,,-24.54,30.8,,"degree, minute and integer second",,2430DB
Malelane; KNP,,,-25.49,31.47,,0-250 m,,2531AD
Malelane Bridge; KNP,,,-25.46,31.53,,0-250 m,,2531BC
Skukuza Camp; KNP,,,-24.97,31.58,,0-250 m,,2431DC
farm Sabie Bungalows 9/26; Hazyview district,,,-25.03,31.11,,0-250 m,,2531AA
Thlamphi Dam; Sabi Sabi; Sabi Sand Game Reserve,,,-24.94,31.46,,,,2431CD
"Kruger National Park, Orpen Dam",,,-24.79,31.89,,"degree, minute and integer second",,2431DD
"Kruger National Park, Nwamuriwa look-out rocks, Metsi-Metsi",,,-24.77,31.9,,"degree, minute and integer second",,2431DD
"Kruger National Park, N'watimuvu stream near Nwaswitsontso river",,,-24.77,31.93,,"degree, minute and integer second",,2431DD
"Kruger National Park, N'watimuvu stream, Metsi-Metsi trail",,,-24.76,31.94,,"degree, minute and integer second",,2431DD
"Kruger National Park, N'watimuvu stream",,,-24.76,31.94,,"degree, minute and integer second",,2431DD
"Kruger National Park, Ka Ngadjane Fountain near Metsi-Metsi windmill",,,-24.79,31.96,,"degree, minute and integer second",,2431DD
"Kruger National Park, Mananga Windmill, Satara",,,-24.31,31.83,,"degree, minute and integer second",,2431BD
"Kruger National Park, Shibotwane  Windmill, Satara",,,-24.39,31.84,,"degree, minute and integer second",,2431BD
"Kruger National Park, 24km E of Orpen Camp",,,-24.4,31.58,,"degree, minute and integer second",,2431BC
"Kruger National Park, Rabelais Dam",,,-24.45,31.49,,"degree, minute and integer second",,2431AD
"Kruger National Park, Olifants River Highwater bridge, just S of Olifants Camp",,,-24.06,31.68,,"degree, minute and integer second",,2431BA
Komatie Poort,,,-25.37,31.87,,centroid of 15x15 minute grid (QDS),,2531BD
"Mauchsberg, the staircase",,,-25.13,30.6,,degree and integer minute,,2530BA
Mount Sheba,,,-24.93,30.71,,degree and integer minute,,2430DC
Blyde River Canyon Nat Res,,,-24.65,30.83,,degree and integer minute,,2430DB
Komatipoort,,,-25.43,31.95,,degree and integer minute,,2531BD
"Farm Rietpoort, 83",,,-27.12,29.87,,centroid of 15x15 minute grid (QDS),,2729BB
"Farmsmalkloof, 122",,,-27.37,29.87,,centroid of 15x15 minute grid (QDS),,2729BD
"Farm Smalkloof, 122",,,-27.37,29.87,,centroid of 15x15 minute grid (QDS),,2729BD
"Farm Paardekop, 76",,,-27.12,29.62,,centroid of 15x15 minute grid (QDS),,2729BA
"Farm Welgedacht, 82",,,-27.12,29.87,,centroid of 15x15 minute grid (QDS),,2729BB
"Farm Diepspruit, 414",,,-26.87,29.37,,centroid of 15x15 minute grid (QDS),,2629CD
"Farm Leeuwkraal, 50",,,-26.87,29.62,,centroid of 15x15 minute grid (QDS),,2629DC
"Farm Roodekopjes, 67",,,-27.12,29.87,,centroid of 15x15 minute grid (QDS),,2729BB
Farm  Bergvleit,,,-27.08,29.85,,degree and integer minute,,2729BB
Komati River; Komatipoort,,,-25.44,31.97,,0-250 m,,2531BD
Lake Panic near Skukuza; Kruger National Park,,,-24.98,31.56,,0-250 m,,2431DC
Graskop 564; 4.1km NW of Graskop; Mpumalanga.,,,-24.91,30.77,,0-250 m,,2430DD
Lake Panic; Kruger National Park,,,-24.98,31.56,,0-250 m,,2431DC
Komatispoort,,,-25.43,31.95,,degree and integer minute,,2531BD
Farm Rhenosterpoort 402,,,-24.62,28.12,,centroid of 15x15 minute grid (QDS),,2428CA
Lothair,,,-26.37,30.37,,centroid of 15x15 minute grid (QDS),,2630AD
Delmas,,,-26.15,28.65,,degree and integer minute,,2628BA
Middleburg,,,-25.87,29.37,,centroid of 15x15 minute grid (QDS),,2529CD
Bethal,,,-26.45,29.48,,degree and integer minute,,2629AD
Xstrata Mine Thorncliffe; Sekukhuneland,,,-24.99,30.12,,0-250 m,,2430CC
Farm Schoonwater,,,-25.62,30.37,,centroid of 15x15 minute grid (QDS),,2530CB
Belfast,,,-25.68,30.03,,degree and integer minute,,2530CA
Lydenburg,,,-25.1,30.45,,degree and integer minute,,2530AB
"Farm Rietfontein, 255",,,-25.33,30.75,,degree and integer minute,,2530BD
Farm Hartebeesfontein 281,,,-24.37,27.62,,centroid of 15x15 minute grid (QDS),,2427BC
Farm Wonderboom,,,-24.37,29.62,,centroid of 15x15 minute grid (QDS),,2429BC
Farm Duurstede,,,-25.83,31.3,,degree and integer minute,,2531CD
Farm Lakenvallei,,,-25.62,30.12,,centroid of 15x15 minute grid (QDS),,2530CA
Sabie,,,-27.1,30.78,,degree and integer minute,,2730BB
Farm Masleroems Oude stad,,,-24.87,29.87,,centroid of 15x15 minute grid (QDS),,2429DD
"Farm Vergelegen, 819",,,-24.87,29.87,,centroid of 15x15 minute grid (QDS),,2429DD
