original_locality,original_qds,latitude,longitude,precision,precby,correctedaddress,gmapslink,farm
Kruger National  Park,2431BA,-23.8214244,31.4456179,APPROXIMATE,johaadienr,"Kruger National Park, South Africa","http://www.google.co.za/maps/place/-23.8214244,31.4456179",Distance from original qds: 0.4800672429105824
,2529DA,-29.817,30.637,APPROXIMATE,johaadienr,"Mpumalanga, South Africa","http://www.google.co.za/maps/place/-29.817,30.637",Distance from original qds: 5.087559139705405
Bridge over Crocodile River; Malelane gate; Kruger NP,2531BC,0,0,0,johaadienr,0,,0
"Kruger National Park, 8km SE of Gudzani Dam",2431BD,0,0,0,johaadienr,0,,0
"Kruger National Park, Sweni Bird Hide",2431BD,0,0,0,johaadienr,0,,0
"Kruger National Park, Nwanetsi Picnic Spot",2431BD,0,0,0,johaadienr,0,,0
"Kruger National Park, Piet Grobler Dam",2431BA,-24.2305166,31.6333235,ROOFTOP,johaadienr,"Piet Grobler Dam, Kruger National Park, Kruger Park, South Africa","http://www.google.co.za/maps/place/-24.2305166,31.6333235",Distance from original qds: 0.673970740112514
"Kruger National Park, Sabie River Low-water Bridge, Skukuza",2431DC,0,0,0,johaadienr,0,,0
"Kruger National Park, Nsemani Dam",2431BC,-24.3917348,31.7172303,APPROXIMATE,johaadienr,"Nsemani Dam, Kruger National Park, Kruger Park, South Africa","http://www.google.co.za/maps/place/-24.3917348,31.7172303",Distance from original qds: 0.8172364754274797
"Kruger National Park, Ngwenyeni Windmill",2431DA,0,0,0,johaadienr,0,,0
"Kruger National Park, Lake Panic, Skukuza Staff Village",2431DC,0,0,0,johaadienr,0,,0
"Kruger National Park, Skukuza Staff Village Tree House",2431DC,0,0,0,johaadienr,0,,0
"Kruger National Park, Nwaswitshaka River, Skukuza Staff Village",2431DC,0,0,0,johaadienr,0,,0
"Kruger National Park, Skukuza Bird Hide",2431DC,-24.9813664,31.5662252,ROOFTOP,johaadienr,"Lake Panic Bird Hide, Kruger National Park, Kruger Park, South Africa","http://www.google.co.za/maps/place/-24.9813664,31.5662252",Distance from original qds: 1.1330008773888922
"Kruger National Park, Skukuza Low-Water Bridge",2431DC,0,0,0,johaadienr,0,,0
"Sunset dam, Lower Sabie",2531BB,0,0,0,johaadienr,0,,0
Sabie River at Lubyelubye stream entrance,2531BB,0,0,0,johaadienr,0,,0
Sabie River low-water bridge,2431DC,0,0,0,johaadienr,0,,0
"Silolweni Dam, Tchokwane",2431DD,0,0,0,johaadienr,0,,0
Blydepoort Dam (Blyderivierpoort 595KT),2430DB,0,0,0,johaadienr,0,,0
Malelane; KNP,2531AD,-25.483333,31.516667,APPROXIMATE,johaadienr,"Malelane, South Africa","http://www.google.co.za/maps/place/-25.483333,31.516667",Distance from original qds: 0.7074995249312893
Malelane Bridge; KNP,2531BC,-25.2739702,31.5352404,GEOMETRIC_CENTER,johaadienr,"Kruger National Park, Malelane - Skukuza Road, Kruger Park, South Africa","http://www.google.co.za/maps/place/-25.2739702,31.5352404",Distance from original qds: 0.6012835905628888
Skukuza Camp; KNP,2431DC,-24.9934347,31.5921942,GEOMETRIC_CENTER,johaadienr,"Kruger National Park, Skukuza Camp Road, Skukuza, 1350, South Africa","http://www.google.co.za/maps/place/-24.9934347,31.5921942",Distance from original qds: 1.156549382291018
farm Sabie Bungalows 9/26; Hazyview district,2531AA,-25.08144,30.78993,FARMPRECISION,johaadienr,Sabie,"http://www.google.co.za/maps/place/-25.08144,30.78993",Farm matched is Sabie with 88+ accuracy
Thlamphi Dam; Sabi Sabi; Sabi Sand Game Reserve,2431CD,0,0,0,johaadienr,0,,0
"Kruger National Park, Orpen Dam",2431DD,-24.7923029,31.8998393,APPROXIMATE,johaadienr,"Orpen Dam, Kruger National Park, Kruger Park, South Africa","http://www.google.co.za/maps/place/-24.7923029,31.8998393",Distance from original qds: 1.1989389689108028
"Kruger National Park, Nwamuriwa look-out rocks, Metsi-Metsi",2431DD,0,0,0,johaadienr,0,,0
"Kruger National Park, N'watimuvu stream near Nwaswitsontso river",2431DD,0,0,0,johaadienr,0,,0
"Kruger National Park, N'watimuvu stream, Metsi-Metsi trail",2431DD,0,0,0,johaadienr,0,,0
"Kruger National Park, N'watimuvu stream",2431DD,0,0,0,johaadienr,0,,0
"Kruger National Park, Ka Ngadjane Fountain near Metsi-Metsi windmill",2431DD,0,0,0,johaadienr,0,,0
"Kruger National Park, Mananga Windmill, Satara",2431BD,0,0,0,johaadienr,0,,0
"Kruger National Park, Shibotwane  Windmill, Satara",2431BD,0,0,0,johaadienr,0,,0
