gid,entity_nam,reference1,gmrotation,lat,long,province
21909748,Bedale,2723CA_15,0,-27.63502,23.24272,Northern Cape
21909710,Uiterwijk,2723CA_9,0,-27.56929,23.17816,Northern Cape
21820151,Kuboesberg Game Farm,3119AA_17,0,-31.1632,19.09693,Northern Cape
12506910,Devon,2722BD_4,0,-27.26139,22.93013,Northern Cape
21833414,Rooiput,2723BA_10,0,-27.08503,23.7245,Northern Cape
22090758,Tamar,2622DB_13,0,-26.60476,22.89505,Northern Cape
22090780,Estancia,2622CA_20,0,-26.6939,22.23102,Northern Cape
22093316,Philanie,2622DD_21,0,-26.98983,22.79162,Northern Cape
21820822,Soetwater,3119AD_24,0,-31.49931,19.41675,Northern Cape
20645945,Klippoort,3024BD_2,0,-30.27415,24.83641,Northern Cape
20646314,Gruisrand,3025CA_1,0,-30.51472,25.02191,Northern Cape
20646315,Herculesfontein,3025CA_2,0,-30.53748,25.08035,Northern Cape
20646316,Blaauwkrantz,3025CA_3,0,-30.53336,25.13666,Northern Cape
20646317,Rondevlei,3025CA_4,0,-30.51968,25.15448,Northern Cape
20646318,Rietbult,3025CA_5,0,-30.51336,25.20485,Northern Cape
20646319,Ketelfontein,3025CA_6,0,-30.59702,25.00479,Northern Cape
20646320,Oertleps,3025CA_6,0,-30.58558,25.04905,Northern Cape
20646321,Knoffelfontein,3025CA_7,0,-30.57653,25.08258,Northern Cape
20646322,Starston,3025CA_8,0,-30.57354,25.10759,Northern Cape
20646323,Rosslands,3025CA_8,0,-30.56586,25.11067,Northern Cape
20646324,Loksfontein,3025CA_10,0,-30.57023,25.24904,Northern Cape
20645970,Achtersteland,3024BD_25,0,-30.45447,24.98225,Northern Cape
20645960,Rietvlei,3024BB_23,0,-30.24188,24.85833,Northern Cape
20645967,Matjiesfontein,3024BD_8,0,-30.3028,24.89576,Northern Cape
20645968,Oudepost,3024BD_8,0,-30.3149,24.89651,Northern Cape
20645969,Bultfontein,3024BD_20,0,-30.43972,24.96423,Northern Cape
20645971,Hamelfontein,3024BD_17,0,-30.42711,24.84245,Northern Cape
20645972,Klipplaatsfontein,3024BD_18,0,-30.40789,24.89306,Northern Cape
20646050,Poortjie,3024DB_2,0,-30.51969,24.81545,Northern Cape
20646051,Beskuitfontein,3024DB_2,0,-30.51159,24.82619,Northern Cape
20646052,Annadale,3024DB_2,0,-30.51257,24.84488,Northern Cape
20646053,Gansgat,3024DB_3,0,-30.51666,24.89977,Northern Cape
20646116,Olive Wood,3025AC_11,0,-30.38543,25.00057,Northern Cape
20646121,Rooidam,3025AC_16,0,-30.44736,25.04368,Northern Cape
20646122,Rooidam,3025AC_16,0,-30.43746,25.04354,Northern Cape
20646123,Twyfelpoort,3025AC_17,0,-30.42973,25.09997,Northern Cape
20646128,Fonteintjie,3025AC_21,0,-30.47289,25.02114,Northern Cape
20646129,Bloubosfontein,3025AC_22,0,-30.47107,25.08431,Northern Cape
20646130,Matjiesfontein,3025AC_23,0,-30.46694,25.11849,Northern Cape
20639709,Swartputs,2725CA_21,0,-27.72124,25.01665,Northern Cape
20639710,Blackpool,2725CA_21,0,-27.70043,25.01865,Northern Cape
20638743,Weltevrede,2824BD_17,0,-28.44097,24.82797,Northern Cape
20638744,Ebenhaezer,2824BD_17,0,-28.43991,24.81518,Northern Cape
20638745,Koppie Enkel,2824BD_22,0,-28.48403,24.81565,Northern Cape
20638746,Paradys,2824BD_22,0,-28.46989,24.82867,Northern Cape
20638747,Brakpan,2824BD_23,0,-28.47583,24.85427,Northern Cape
20639433,Orley,2724DB_23,0,-27.71417,24.88534,Northern Cape
20639434,Broadlea,2724DB_23,0,-27.70909,24.88804,Northern Cape
20639435,Lowestoff,2724DB_18,0,-27.69546,24.87181,Northern Cape
20639436,Lala Panzi,2724DB_23,0,-27.72017,24.87882,Northern Cape
20639437,Rockdale,2724DB_22,0,-27.72401,24.84966,Northern Cape
20639438,Skaapfontein,2724DB_23,0,-27.74233,24.85261,Northern Cape
20639439,Skaapfontein,2724DB_23,0,-27.74215,24.85545,Northern Cape
20639440,Gatesby,2724DB_24,0,-27.73823,24.91776,Northern Cape
20639441,Maanlig,2724DD_4,0,-27.7654,24.91389,Northern Cape
20639442,Rakeaway,2724DD_4,0,-27.76693,24.90511,Northern Cape
20639444,Thornhill,2724DD_5,0,-27.77409,24.96022,Northern Cape
20639445,Greyston,2724DD_5,0,-27.75502,24.9796,Northern Cape
20639449,Woodlands,2724DD_9,0,-27.83587,24.91763,Northern Cape
20639450,Springboknek,2724DD_8,0,-27.8187,24.88483,Northern Cape
20639451,Uithou,2724DD_13,0,-27.88969,24.8527,Northern Cape
20639452,Frikana,2724DD_12,0,-27.86963,24.84273,Northern Cape
20639453,Vastrap,2724DD_12,0,-27.87135,24.84473,Northern Cape
20639198,Agrivale,2825AA_6,0,-28.09844,25.00772,Northern Cape
20638683,Misgund,2824BB_2,0,-28.01935,24.83439,Northern Cape
20638689,Driehoek,2824BB_10,0,-28.08458,24.98987,Northern Cape
